"","NOS.NS.1","NOS.NS.2","NOS.NS.3","NOS.LA.1","NOS.LA.2","NOS.LA.3","S.NS.1","S.NS.2","S.NS.3","S.LA.1","S.LA.2","S.LA.3"
"236798_at",5.33637341233133,5.04377924536999,5.17096172666145,4.63002126413809,5.35660471300235,4.92283587170628,4.70538794406176,4.88131840010074,4.91258142846202,5.29386044710358,4.55833613272151,4.79898148934396
"227591_at",6.64539218292704,7.02557180630752,6.43269634168487,6.81042283465398,6.91429820415037,6.92120319429293,6.1667923525747,6.93372274754631,6.5310055600727,6.3149720245666,6.46540800490609,6.5310055600727
"229041_s_at",7.09296298477529,6.08369614527994,6.34859309606463,6.79403127937359,6.12790437924465,6.46454671297934,6.00122092895574,6.26890459652327,6.66457995698411,6.03898032039133,6.1464684133703,6.99161889736885
"1556899_at",3.93137714047896,4.24971490972809,3.98001716693544,3.52705549780949,3.56005902321169,4.12652557778449,3.46630339246112,3.66056065604948,3.85805140274831,3.86713776826409,3.76114160688521,4.40088568875866
"1557389_at",6.13454002645448,6.08476072913949,6.79449323701388,6.24154711029146,5.97576423915459,6.7341418789457,6.5884922440209,6.87103984895016,6.75248030667523,6.96404598511917,7.16521236793244,6.20267789592361
"1568647_at",4.74220601675058,4.21980561564587,6.14086873124602,4.99539875152382,4.18643146289752,4.57663334405257,5.40795311675856,6.02228604464524,5.36091240894857,4.28636612435439,5.10441360329352,4.9454712066709
"234082_at",7.47986032547387,6.898612708352,6.63643052539109,7.48939820918881,7.33075361166083,6.05990520391226,6.7861877803417,7.15116119242777,6.74165876714378,6.46282936957942,6.20200786734443,6.47423587753601
"239880_at",3.11128406510556,3.36664862253085,3.35420082338274,3.58945700617896,3.06342865157101,3.72264326354226,2.79425206125503,3.39868540252449,3.86302780492752,3.2044522896018,3.04471503229829,4.11085477714138
"237028_at",4.37022504813403,4.9847560816511,4.75251984126723,4.25890086745489,4.71435954223814,3.75268705784862,4.5927452801764,4.88981419062643,4.73725738183572,4.82141102506059,4.15538302952233,4.33926834303139
"1559280_a_at",4.95567403765577,5.15686050426493,5.33440422848474,4.67575511680357,6.37860388178198,5.16626814788548,5.16373853347595,5.19164792423242,5.05388480732847,6.05172394645892,5.71459023207418,5.83643340125288
